Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,symmetric,0.61,0.5628034250708518
100% Corpus,5,symmetric,0.9099999999999999,0.5795907910333685
100% Corpus,5,symmetric,symmetric,0.5566705055125947
100% Corpus,5,asymmetric,0.01,0.6778037097477488
100% Corpus,5,asymmetric,0.31,0.6503982564617534
100% Corpus,5,asymmetric,0.61,0.6522437539508535
100% Corpus,5,asymmetric,0.9099999999999999,0.6525120957257253
100% Corpus,5,asymmetric,symmetric,0.6502320533394153
100% Corpus,6,0.01,0.01,0.5780441340391947
100% Corpus,6,0.01,0.31,0.5045304796709734
100% Corpus,6,0.01,0.61,0.5775736964369621
100% Corpus,6,0.01,0.9099999999999999,0.5812160383650792
100% Corpus,6,0.01,symmetric,0.5544668091581976
100% Corpus,6,0.31,0.01,0.6043042082445297
100% Corpus,6,0.31,0.31,0.5163429151641649
100% Corpus,6,0.31,0.61,0.5246506824464577
100% Corpus,6,0.31,0.9099999999999999,0.553718380665155
100% Corpus,6,0.31,symmetric,0.6117837376267056
100% Corpus,6,0.61,0.01,0.611679594780023
100% Corpus,6,0.61,0.31,0.603646481377154
100% Corpus,6,0.61,0.61,0.5714957122243112
100% Corpus,6,0.61,0.9099999999999999,0.5287366720695171
100% Corpus,6,0.61,symmetric,0.5934775081883567
100% Corpus,6,0.9099999999999999,0.01,0.6182518403574995
100% Corpus,6,0.9099999999999999,0.31,0.6071405266957611
100% Corpus,6,0.9099999999999999,0.61,0.5977523245060087
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5581038381617498
100% Corpus,6,0.9099999999999999,symmetric,0.6176777997355742
100% Corpus,6,symmetric,0.01,0.563600791731714
100% Corpus,6,symmetric,0.31,0.5514576751096206
100% Corpus,6,symmetric,0.61,0.5332918054204293
100% Corpus,6,symmetric,0.9099999999999999,0.5822161368550283
100% Corpus,6,symmetric,symmetric,0.5593529181528344
100% Corpus,6,asymmetric,0.01,0.6096029275132243
100% Corpus,6,asymmetric,0.31,0.597042578635564
100% Corpus,6,asymmetric,0.61,0.6460554468096706
100% Corpus,6,asymmetric,0.9099999999999999,0.6680332362985372
100% Corpus,6,asymmetric,symmetric,0.6031338033535767
100% Corpus,7,0.01,0.01,0.5953360377654807
100% Corpus,7,0.01,0.31,0.5682875913356239
100% Corpus,7,0.01,0.61,0.5783147336050112
100% Corpus,7,0.01,0.9099999999999999,0.600514089990267
100% Corpus,7,0.01,symmetric,0.5794696074193347
100% Corpus,7,0.31,0.01,0.568983788939218
100% Corpus,7,0.31,0.31,0.5590443322759502
100% Corpus,7,0.31,0.61,0.56562290048986
100% Corpus,7,0.31,0.9099999999999999,0.5336108046643753
100% Corpus,7,0.31,symmetric,0.5569062265652851
100% Corpus,7,0.61,0.01,0.6229873234501867
100% Corpus,7,0.61,0.31,0.5647181408897537
100% Corpus,7,0.61,0.61,0.5814336255190629
100% Corpus,7,0.61,0.9099999999999999,0.5158240210496394
100% Corpus,7,0.61,symmetric,0.5931309211503866
100% Corpus,7,0.9099999999999999,0.01,0.6002122810608024
100% Corpus,7,0.9099999999999999,0.31,0.5855771313920055
100% Corpus,7,0.9099999999999999,0.61,0.5804118605237811
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.5371057759632684
100% Corpus,7,0.9099999999999999,symmetric,0.5992223604158298
100% Corpus,7,symmetric,0.01,0.5957487769099281
100% Corpus,7,symmetric,0.31,0.5797381890339813
100% Corpus,7,symmetric,0.61,0.5532512028901626
100% Corpus,7,symmetric,0.9099999999999999,0.6372427056987073
100% Corpus,7,symmetric,symmetric,0.5823394353608944
100% Corpus,7,asymmetric,0.01,0.6036211035231787
100% Corpus,7,asymmetric,0.31,0.6133668643737477
100% Corpus,7,asymmetric,0.61,0.6764803211847797
100% Corpus,7,asymmetric,0.9099999999999999,0.5966042804807493
100% Corpus,7,asymmetric,symmetric,0.5692940124318209
100% Corpus,8,0.01,0.01,0.6292381994722493
100% Corpus,8,0.01,0.31,0.5254220510544038
