Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
100% Corpus,3,0.61,0.9099999999999999,0.6396050937988895,-7.347554581832554
100% Corpus,3,0.61,symmetric,0.6387191320982283,-7.255661030419219
100% Corpus,3,0.9099999999999999,0.01,0.6735573925601644,-22.2453061817837
100% Corpus,3,0.9099999999999999,0.31,0.6527071573415374,-7.273206064770125
100% Corpus,3,0.9099999999999999,0.61,0.6651893173823176,-7.30413201425383
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.6461750206928626,-7.360184591614979
100% Corpus,3,0.9099999999999999,symmetric,0.6492320112263567,-7.283396627987433
100% Corpus,3,symmetric,0.01,0.6505969522098937,-22.291638082313565
100% Corpus,3,symmetric,0.31,0.6380595176471716,-7.278645057023369
100% Corpus,3,symmetric,0.61,0.6273584251820202,-7.296309093172342
100% Corpus,3,symmetric,0.9099999999999999,0.6086481798058752,-7.358730551067129
100% Corpus,3,symmetric,symmetric,0.6310094062623546,-7.2652726800492635
100% Corpus,3,asymmetric,0.01,0.6282922116951859,-22.294701756259446
100% Corpus,3,asymmetric,0.31,0.6406698907908625,-7.267108227936261
100% Corpus,3,asymmetric,0.61,0.6296397459907798,-7.302632994240263
100% Corpus,3,asymmetric,0.9099999999999999,0.5409765836085926,-7.377207146388561
100% Corpus,3,asymmetric,symmetric,0.6420897557510464,-7.26889603836715
100% Corpus,4,0.01,0.01,0.6316529465066832,-23.39913675506044
100% Corpus,4,0.01,0.31,0.5962242354203593,-7.3893321882658745
100% Corpus,4,0.01,0.61,0.5856716304826919,-7.383044744977339
100% Corpus,4,0.01,0.9099999999999999,0.6077006473132633,-7.398487572767408
100% Corpus,4,0.01,symmetric,0.6099874870033777,-7.446447341549166
100% Corpus,4,0.31,0.01,0.601189446552965,-22.80416676668194
100% Corpus,4,0.31,0.31,0.6045591088286599,-7.329435849431302
100% Corpus,4,0.31,0.61,0.5597840353814414,-7.378639481119446
100% Corpus,4,0.31,0.9099999999999999,0.5817121605427071,-7.42932725773276
100% Corpus,4,0.31,symmetric,0.5948353778401483,-7.309090218060258
100% Corpus,4,0.61,0.01,0.6487380116475054,-23.66625904446396
100% Corpus,4,0.61,0.31,0.6335635204710193,-7.283427268517617
100% Corpus,4,0.61,0.61,0.6188222389179552,-7.35242436413382
100% Corpus,4,0.61,0.9099999999999999,0.6018556492221089,-7.414084702975758
100% Corpus,4,0.61,symmetric,0.6219854566743367,-7.2875526562422115
100% Corpus,4,0.9099999999999999,0.01,0.6410618535450615,-22.233705440478797
100% Corpus,4,0.9099999999999999,0.31,0.6443965801869511,-7.289625727188352
100% Corpus,4,0.9099999999999999,0.61,0.6241793955170756,-7.343748771170323
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.6444131318441736,-7.428938886464192
100% Corpus,4,0.9099999999999999,symmetric,0.6425916535524472,-7.26689629088962
100% Corpus,4,symmetric,0.01,0.6102014292019836,-22.3019434829757
100% Corpus,4,symmetric,0.31,0.6110646501771669,-7.345097417765928
100% Corpus,4,symmetric,0.61,0.5578949829076412,-7.350112369444999
100% Corpus,4,symmetric,0.9099999999999999,0.5881525145479303,-7.408859261943614
100% Corpus,4,symmetric,symmetric,0.5827172692702245,-7.3150352980604945
100% Corpus,4,asymmetric,0.01,0.6619862161252562,-22.26678630588389
100% Corpus,4,asymmetric,0.31,0.6616845798594412,-7.278116629288541
100% Corpus,4,asymmetric,0.61,0.6236953205754405,-7.33017607657099
100% Corpus,4,asymmetric,0.9099999999999999,0.6350166796744069,-7.391457360816851
100% Corpus,4,asymmetric,symmetric,0.6828724295916755,-7.299178625660832
100% Corpus,5,0.01,0.01,0.6220888822202802,-22.86607708473193
100% Corpus,5,0.01,0.31,0.5985937019049333,-7.451498047849034
100% Corpus,5,0.01,0.61,0.6294147988790921,-7.451239777310046
100% Corpus,5,0.01,0.9099999999999999,0.6233247563927942,-7.461661865567291
100% Corpus,5,0.01,symmetric,0.6071645761670563,-7.621329387714083
100% Corpus,5,0.31,0.01,0.6345558017067532,-22.252505824708926
100% Corpus,5,0.31,0.31,0.5855619494596709,-7.353039455216416
100% Corpus,5,0.31,0.61,0.5613754698949905,-7.425591494522816
100% Corpus,5,0.31,0.9099999999999999,0.5900956413504226,-7.478444276062222
100% Corpus,5,0.31,symmetric,0.6048968160921581,-7.359143598700207
100% Corpus,5,0.61,0.01,0.6422532126182507,-23.62112970133097
100% Corpus,5,0.61,0.31,0.638426145955594,-7.313933422915441
100% Corpus,5,0.61,0.61,0.6285785988180468,-7.415596317424916
100% Corpus,5,0.61,0.9099999999999999,0.6038827585237603,-7.482511323417238
100% Corpus,5,0.61,symmetric,0.6371384748498363,-7.300020218579163
100% Corpus,5,0.9099999999999999,0.01,0.6202545835823096,-22.22622479062407
100% Corpus,5,0.9099999999999999,0.31,0.6596903229899007,-7.308427507326088
100% Corpus,5,0.9099999999999999,0.61,0.6533559029438594,-7.397508230881918
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.6176605082071696,-7.4935169852918495
100% Corpus,5,0.9099999999999999,symmetric,0.6632997622525164,-7.287104523475719
100% Corpus,5,symmetric,0.01,0.6053556725422241,-22.280679121473547
100% Corpus,5,symmetric,0.31,0.5713321133514132,-7.355215125477076
100% Corpus,5,symmetric,0.61,0.5903784999703199,-7.422772322960992
100% Corpus,5,symmetric,0.9099999999999999,0.6265654803165026,-7.487371844843625
100% Corpus,5,symmetric,symmetric,0.5930924737687671,-7.382949335187778
100% Corpus,5,asymmetric,0.01,0.5930887292202139,-22.804232974117923
100% Corpus,5,asymmetric,0.31,0.608464684126892,-7.3396671746953395
100% Corpus,5,asymmetric,0.61,0.6079706862468871,-7.368264113297196
100% Corpus,5,asymmetric,0.9099999999999999,0.6586963838622816,-7.438283597539601
100% Corpus,5,asymmetric,symmetric,0.5761069778248236,-7.332385157660118
100% Corpus,6,0.01,0.01,0.6032201903438357,-21.800814468070257
100% Corpus,6,0.01,0.31,0.5597648018996746,-7.514012070495187
100% Corpus,6,0.01,0.61,0.624331801447593,-7.485610128435855
100% Corpus,6,0.01,0.9099999999999999,0.6006271502841373,-7.482927408597143
100% Corpus,6,0.01,symmetric,0.5694577905691035,-7.731186432041083
100% Corpus,6,0.31,0.01,0.5762000426748967,-22.25957165371674
100% Corpus,6,0.31,0.31,0.5769881100937191,-7.396570168050877
100% Corpus,6,0.31,0.61,0.5437815665889593,-7.4826842200913015
100% Corpus,6,0.31,0.9099999999999999,0.5471235776668298,-7.539603160368793
100% Corpus,6,0.31,symmetric,0.5670965835731625,-7.373429256340581
100% Corpus,6,0.61,0.01,0.612488379694171,-23.61126405902257
100% Corpus,6,0.61,0.31,0.6284760608715546,-7.379774331025004
100% Corpus,6,0.61,0.61,0.5663832289032831,-7.4566830308915835
100% Corpus,6,0.61,0.9099999999999999,0.5396387755326895,-7.557498476763546
100% Corpus,6,0.61,symmetric,0.6012159540335144,-7.319785359196693
100% Corpus,6,0.9099999999999999,0.01,0.5996773910772545,-22.217231840429257
100% Corpus,6,0.9099999999999999,0.31,0.617583932384622,-7.368745214379683
100% Corpus,6,0.9099999999999999,0.61,0.6061629612845555,-7.453425865888415
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5954859922904281,-7.557636013962073
100% Corpus,6,0.9099999999999999,symmetric,0.6092003501660834,-7.315290070071244
100% Corpus,6,symmetric,0.01,0.5831048755126053,-22.29022914646791
100% Corpus,6,symmetric,0.31,0.5446668187143086,-7.411861221168146
100% Corpus,6,symmetric,0.61,0.5901547729135207,-7.456084370103497
100% Corpus,6,symmetric,0.9099999999999999,0.6085021886716405,-7.507539447664704
100% Corpus,6,symmetric,symmetric,0.5828092708099485,-7.411522435180406
100% Corpus,6,asymmetric,0.01,0.6299481012138108,-22.27226255663066
100% Corpus,6,asymmetric,0.31,0.5532079755023579,-7.366436712042609
100% Corpus,6,asymmetric,0.61,0.6248458227787874,-7.414631844005948
100% Corpus,6,asymmetric,0.9099999999999999,0.6423038060401952,-7.466936555649339
100% Corpus,6,asymmetric,symmetric,0.5266634314350326,-7.407022633115703
100% Corpus,7,0.01,0.01,0.5785071649145684,-21.792477462504866
100% Corpus,7,0.01,0.31,0.52294011804008,-7.551169440446351
100% Corpus,7,0.01,0.61,0.5581604450364934,-7.524531499729092
100% Corpus,7,0.01,0.9099999999999999,0.6182340858178871,-7.53506924154356
100% Corpus,7,0.01,symmetric,0.5508338763271727,-7.770306663158752
100% Corpus,7,0.31,0.01,0.5759230746087219,-22.22962654659978
100% Corpus,7,0.31,0.31,0.5369785525487479,-7.446535733793257
100% Corpus,7,0.31,0.61,0.501382901022819,-7.5175194414190845
100% Corpus,7,0.31,0.9099999999999999,0.5415541314323972,-7.605889766910178
100% Corpus,7,0.31,symmetric,0.5698689373863689,-7.419754285278243
100% Corpus,7,0.61,0.01,0.5991912987935163,-21.147405789958515
100% Corpus,7,0.61,0.31,0.6088322654805677,-7.394064129136807
100% Corpus,7,0.61,0.61,0.5438753590314093,-7.511390551809661
100% Corpus,7,0.61,0.9099999999999999,0.5122857875765188,-7.616508475239679
100% Corpus,7,0.61,symmetric,0.5989543125596245,-7.360307406145424
100% Corpus,7,0.9099999999999999,0.01,0.5999977449636736,-20.753335510513264
100% Corpus,7,0.9099999999999999,0.31,0.5985522874369085,-7.404261476875572
100% Corpus,7,0.9099999999999999,0.61,0.5745391931278829,-7.502530639058926
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.5399343626445426,-7.614955457844911
100% Corpus,7,0.9099999999999999,symmetric,0.6301802704639057,-7.317141779454385
100% Corpus,7,symmetric,0.01,0.6188944107188938,-22.814819948345193
100% Corpus,7,symmetric,0.31,0.526459959179617,-7.4421616218457896
100% Corpus,7,symmetric,0.61,0.5698834995569477,-7.4863918272690455
100% Corpus,7,symmetric,0.9099999999999999,0.6319245045222452,-7.549014042653786
100% Corpus,7,symmetric,symmetric,0.57526753491714,-7.453843729364173
100% Corpus,7,asymmetric,0.01,0.6084069073878214,-22.279244335311592
100% Corpus,7,asymmetric,0.31,0.5467633982682154,-7.4225736448618225
100% Corpus,7,asymmetric,0.61,0.6424635561429904,-7.437769481135448
100% Corpus,7,asymmetric,0.9099999999999999,0.6245772334608012,-7.499252946487694
100% Corpus,7,asymmetric,symmetric,0.5377917217973817,-7.422459559790045
100% Corpus,8,0.01,0.01,0.5862300578317072,-22.951852683002887
100% Corpus,8,0.01,0.31,0.5417873388522598,-7.6439304856782995
100% Corpus,8,0.01,0.61,0.5609489699920298,-7.543968663893625
100% Corpus,8,0.01,0.9099999999999999,0.6391178365975521,-7.526378009351535
100% Corpus,8,0.01,symmetric,0.5559296493572969,-7.885792125631217
100% Corpus,8,0.31,0.01,0.5740382599991717,-22.21480492691869
100% Corpus,8,0.31,0.31,0.5284492631731814,-7.480804785968107
100% Corpus,8,0.31,0.61,0.48774225609375293,-7.580460670028623
100% Corpus,8,0.31,0.9099999999999999,0.5548227862678228,-7.640230094875351
100% Corpus,8,0.31,symmetric,0.5534609640434195,-7.508149711165499
100% Corpus,8,0.61,0.01,0.588987874073279,-22.196813855386214
100% Corpus,8,0.61,0.31,0.5938871152291209,-7.449122688650939
100% Corpus,8,0.61,0.61,0.5337299752483587,-7.576943765958536
100% Corpus,8,0.61,0.9099999999999999,0.49373010988947613,-7.654104064545388
100% Corpus,8,0.61,symmetric,0.6068443909774234,-7.449029028146991
100% Corpus,8,0.9099999999999999,0.01,0.5931477054838685,-21.14203218821283
100% Corpus,8,0.9099999999999999,0.31,0.5900703422375131,-7.448955864781084
100% Corpus,8,0.9099999999999999,0.61,0.5619329586012011,-7.5576540361723445
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.5056631778780647,-7.660339620256976
100% Corpus,8,0.9099999999999999,symmetric,0.5874541017987098,-7.40652399090382
100% Corpus,8,symmetric,0.01,0.5884217839297758,-22.831917947597628
100% Corpus,8,symmetric,0.31,0.5472990677838853,-7.504729999344038
100% Corpus,8,symmetric,0.61,0.5495328014990357,-7.536753294334088
100% Corpus,8,symmetric,0.9099999999999999,0.6154079828632988,-7.583156736103889
100% Corpus,8,symmetric,symmetric,0.5658091957856732,-7.534778204608252
100% Corpus,8,asymmetric,0.01,0.5292130723010763,-22.276486610818342
100% Corpus,8,asymmetric,0.31,0.5491575400683042,-7.4292666530625056
100% Corpus,8,asymmetric,0.61,0.6420041852105087,-7.449750928560294
100% Corpus,8,asymmetric,0.9099999999999999,0.6348244720641758,-7.503543277340421
100% Corpus,8,asymmetric,symmetric,0.48549490114443505,-7.49382144337639
100% Corpus,9,0.01,0.01,0.5690632815176201,-22.97227500464603
100% Corpus,9,0.01,0.31,0.5056451678154802,-7.6385069732511
100% Corpus,9,0.01,0.61,0.5588604932432079,-7.562751834613432
